img_file,mos,pred,plcc,-0.0022,srcc,-0.0028
dataset/output\10_4\chromatic_aberrations\1.jpg,1.0,3.899601697921753
dataset/output\10_4\chromatic_aberrations\10.jpg,10.0,5.168910980224609
dataset/output\10_4\chromatic_aberrations\2.jpg,2.0,6.300079822540283
dataset/output\10_4\chromatic_aberrations\3.jpg,3.0,9.602144241333008
dataset/output\10_4\chromatic_aberrations\4.jpg,4.0,1.655273675918579
dataset/output\10_4\chromatic_aberrations\5.jpg,5.0,3.8045806884765625
dataset/output\10_4\chromatic_aberrations\6.jpg,6.0,4.102384567260742
dataset/output\10_4\chromatic_aberrations\7.jpg,7.0,3.287226676940918
dataset/output\10_4\chromatic_aberrations\8.jpg,8.0,7.332409858703613
dataset/output\10_4\chromatic_aberrations\9.jpg,9.0,5.685582160949707
dataset/output\10_4\color_inversion\1.jpg,1.0,3.5551719665527344
dataset/output\10_4\color_inversion\10.jpg,10.0,4.179841995239258
dataset/output\10_4\color_inversion\2.jpg,2.0,5.9674601554870605
dataset/output\10_4\color_inversion\3.jpg,3.0,2.386577606201172
dataset/output\10_4\color_inversion\4.jpg,4.0,7.656747341156006
dataset/output\10_4\color_inversion\5.jpg,5.0,2.8310799598693848
dataset/output\10_4\color_inversion\6.jpg,6.0,7.625369548797607
dataset/output\10_4\color_inversion\7.jpg,7.0,7.034667491912842
dataset/output\10_4\color_inversion\8.jpg,8.0,9.020309448242188
dataset/output\10_4\color_inversion\9.jpg,9.0,6.269472599029541
dataset/output\10_4\color_quantization_with_dither\1.jpg,1.0,7.03217077255249
dataset/output\10_4\color_quantization_with_dither\10.jpg,10.0,7.3310980796813965
dataset/output\10_4\color_quantization_with_dither\2.jpg,2.0,7.026891708374023
dataset/output\10_4\color_quantization_with_dither\3.jpg,3.0,1.7364015579223633
dataset/output\10_4\color_quantization_with_dither\4.jpg,4.0,9.428428649902344
dataset/output\10_4\color_quantization_with_dither\5.jpg,5.0,4.480607986450195
dataset/output\10_4\color_quantization_with_dither\6.jpg,6.0,2.8821239471435547
dataset/output\10_4\color_quantization_with_dither\7.jpg,7.0,4.260982036590576
dataset/output\10_4\color_quantization_with_dither\8.jpg,8.0,7.319052219390869
dataset/output\10_4\color_quantization_with_dither\9.jpg,9.0,6.9339280128479
dataset/output\10_4\color_saturation\1.jpg,1.0,9.262563705444336
dataset/output\10_4\color_saturation\10.jpg,10.0,4.56187105178833
dataset/output\10_4\color_saturation\2.jpg,2.0,5.337036609649658
dataset/output\10_4\color_saturation\3.jpg,3.0,5.433262348175049
dataset/output\10_4\color_saturation\4.jpg,4.0,8.468897819519043
dataset/output\10_4\color_saturation\5.jpg,5.0,1.9202163219451904
dataset/output\10_4\color_saturation\6.jpg,6.0,3.929891347885132
dataset/output\10_4\color_saturation\7.jpg,7.0,8.139476776123047
dataset/output\10_4\color_saturation\8.jpg,8.0,5.627315044403076
dataset/output\10_4\color_saturation\9.jpg,9.0,8.66049575805664
dataset/output\10_4\contrast_change\1.jpg,1.0,6.996789455413818
dataset/output\10_4\contrast_change\10.jpg,10.0,6.108817100524902
dataset/output\10_4\contrast_change\2.jpg,2.0,4.647662162780762
dataset/output\10_4\contrast_change\3.jpg,3.0,5.281310558319092
dataset/output\10_4\contrast_change\4.jpg,4.0,4.376866817474365
dataset/output\10_4\contrast_change\5.jpg,5.0,2.5482566356658936
dataset/output\10_4\contrast_change\6.jpg,6.0,7.295594215393066
dataset/output\10_4\contrast_change\7.jpg,7.0,6.284223556518555
dataset/output\10_4\contrast_change\8.jpg,8.0,6.833017826080322
dataset/output\10_4\contrast_change\9.jpg,9.0,1.79026460647583
dataset/output\10_4\gamma_curve_distortion\1.jpg,1.0,8.02903938293457
dataset/output\10_4\gamma_curve_distortion\10.jpg,10.0,2.558307647705078
dataset/output\10_4\gamma_curve_distortion\2.jpg,2.0,4.120925426483154
dataset/output\10_4\gamma_curve_distortion\3.jpg,3.0,3.954885482788086
dataset/output\10_4\gamma_curve_distortion\4.jpg,4.0,5.615957736968994
dataset/output\10_4\gamma_curve_distortion\5.jpg,5.0,3.0311214923858643
dataset/output\10_4\gamma_curve_distortion\6.jpg,6.0,8.302124977111816
dataset/output\10_4\gamma_curve_distortion\7.jpg,7.0,2.806732416152954
dataset/output\10_4\gamma_curve_distortion\8.jpg,8.0,8.277009963989258
dataset/output\10_4\gamma_curve_distortion\9.jpg,9.0,8.796671867370605
dataset/output\10_4\gaussian_blur\1.jpg,1.0,7.702464580535889
dataset/output\10_4\gaussian_blur\10.jpg,10.0,8.20974349975586
dataset/output\10_4\gaussian_blur\2.jpg,2.0,4.44925594329834
dataset/output\10_4\gaussian_blur\3.jpg,3.0,5.67119836807251
dataset/output\10_4\gaussian_blur\4.jpg,4.0,2.3156356811523438
dataset/output\10_4\gaussian_blur\5.jpg,5.0,2.434523344039917
dataset/output\10_4\gaussian_blur\6.jpg,6.0,8.972333908081055
dataset/output\10_4\gaussian_blur\7.jpg,7.0,2.616258144378662
dataset/output\10_4\gaussian_blur\8.jpg,8.0,6.335153579711914
dataset/output\10_4\gaussian_blur\9.jpg,9.0,6.893163204193115
dataset/output\10_4\high_frequency_noise\1.jpg,1.0,5.961709976196289
dataset/output\10_4\high_frequency_noise\10.jpg,10.0,2.5927741527557373
dataset/output\10_4\high_frequency_noise\2.jpg,2.0,2.740819215774536
dataset/output\10_4\high_frequency_noise\3.jpg,3.0,6.973297595977783
dataset/output\10_4\high_frequency_noise\4.jpg,4.0,1.6196045875549316
dataset/output\10_4\high_frequency_noise\5.jpg,5.0,6.6158857345581055
dataset/output\10_4\high_frequency_noise\6.jpg,6.0,2.4258217811584473
dataset/output\10_4\high_frequency_noise\7.jpg,7.0,6.24547815322876
dataset/output\10_4\high_frequency_noise\8.jpg,8.0,6.78352165222168
dataset/output\10_4\high_frequency_noise\9.jpg,9.0,2.7032177448272705
dataset/output\10_4\histogram_equalization\1.jpg,1.0,3.797135353088379
dataset/output\10_4\histogram_equalization\10.jpg,10.0,8.091109275817871
dataset/output\10_4\histogram_equalization\2.jpg,2.0,2.594316244125366
dataset/output\10_4\histogram_equalization\3.jpg,3.0,3.899601697921753
dataset/output\10_4\histogram_equalization\4.jpg,4.0,6.9300007820129395
dataset/output\10_4\histogram_equalization\5.jpg,5.0,8.659703254699707
dataset/output\10_4\histogram_equalization\6.jpg,6.0,6.7024922370910645
dataset/output\10_4\histogram_equalization\7.jpg,7.0,9.262563705444336
dataset/output\10_4\histogram_equalization\8.jpg,8.0,8.82498836517334
dataset/output\10_4\histogram_equalization\9.jpg,9.0,9.326738357543945
dataset/output\10_4\intensity_gain\1.jpg,1.0,8.577154159545898
